Area or Hotel,Loop,Loop Total Length,Loop Notes,Track Number,Track,Track Artist,Album,Loop Track Length,Track Notes,Album Track Number,Album Disc Number,Album Label,Dates,Holiday/Special Event
Disney's Grand Californian Hotel & Spa,Grand Californian Holiday,,,10,White Christmas,The Hampton String Quartet,HSQ Does Christmas (again),3:41.573,,7,,Mona Lisa Sound,,Christmas
Disney's Grand Californian Hotel & Spa,Grand Californian Holiday,,,11,The Little Drummer Boy,The Hampton String Quartet,HSQ Does Christmas (again),4:09.638,,8,,Mona Lisa Sound,,Christmas
Disney's Grand Californian Hotel & Spa,Grand Californian Holiday,,,12,Winter Wonderland,The Hampton String Quartet,HSQ Does Christmas (again),4:19.896,,9,,Mona Lisa Sound,,Christmas
Disney's Grand Californian Hotel & Spa,Grand Californian Holiday,,,13,Let It Snow! Let It Snow! Let It Snow!,The Hampton String Quartet,HSQ Does Christmas (again),2:28.364,,10,,Mona Lisa Sound,,Christmas
Disney's Grand Californian Hotel & Spa,Grand Californian Holiday,,,14,Frosty the Snowman,The Hampton String Quartet,HSQ Does Christmas (again),5:28.323,,1,,Mona Lisa Sound,,Christmas
Disney's Grand Californian Hotel & Spa,Grand Californian Holiday,,,15,Have Yourself a Merry Little Christmas,The Hampton String Quartet,HSQ Does Christmas (again),2:47.436,,2,,Mona Lisa Sound,,Christmas
Disney's Grand Californian Hotel & Spa,Grand Californian Holiday,,,16,We Wish You a Merry Christmas,The Hampton String Quartet,HSQ Does Christmas (again),1:06.933,"The loop track starts at around 1:25.719 of the album track and has about 0.6 secs. of silence removed before the final note, between 2:26.815 and 2:27.416 of the album track.",11,,Mona Lisa Sound,,Christmas
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Character Breakfast,~1:01:00,"Compiled by StarWarsGalaxysEdge (MouseBits; 2022). See https://mousebits.com/smf/index.php?topic=10787.msg98737#msg98737. This plays throughout the entire day, during character breakfast/brunch and dinner.",1, Kentucky Slide,Jeremy Sherman,"Country, USA",,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Character Breakfast,,,2, UNKNOWN A,,,,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Character Breakfast,,,3, Banjolin,Jeremy Sherman,US Country Old & New,,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Character Breakfast,,,4, Country Banjo Funk,Mike Eaves,Plan B,,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Character Breakfast,,,5," Mickey Mouse Club March/The Ballad
  of Davy Crockett",Various Artists,"O Mickey, Where Art Thou?",,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Character Breakfast,,,6, Stomping at the Barn,"Dave James, Keith Beauvais",Stomping Country,,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Character Breakfast,,,7," Bare Necessities (""Jungle
  Book"")",Pickin' On Series,Heigh Ho Banjo: Bluegrass Salutes Favorite Disney Songs,,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Character Breakfast,,,8, Everybody Loves Moonshine,"Tim Reilly, Jeremy Sherman, Jason Pedder",Banjo & Beats,,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Character Breakfast,,,9, Country Rag,Jeremy Sherman,"Country, USA 2",,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Character Breakfast,,,10, Old Kent Road,Jeremy Sherman,Old Timer Country,,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Character Breakfast,,,11, Roan Mountain Dance,"Leon Hunt, Josh Clark",Banjo,,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Character Breakfast,,,12," I Wanna Be Like You (""Jungle
  Book"")",Pickin' On Series,Heigh Ho Banjo: Bluegrass Salutes Favorite Disney Songs,,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Character Breakfast,,,13, UNKNOWN B,,,,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Character Breakfast,,,14, Rough Rider,"Dave James, Keith Beauvais",Stomping Country,,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Character Breakfast,,,15, Kentucky Slide,Jeremy Sherman,"Country, USA",,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Character Breakfast,,,16, UNKNOWN A,,,,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Character Breakfast,,,17, Country Banjo Funk,Mike Eaves,Plan B,,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Character Breakfast,,,18," Mickey Mouse Club March/The Ballad
  of Davy Crockett",Various Artists,"O Mickey, Where Art Thou?",,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Character Breakfast,,,19, Dust Kicker,"Dave James, Keith Beauvais",Stomping Country,,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Character Breakfast,,,20," Bare Necessities (""Jungle
  Book"")",Pickin' On Series,Heigh Ho Banjo: Bluegrass Salutes Favorite Disney Songs,,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Character Breakfast,,,21, Banjo Man,"Lincoln Grounds, Michael Pearse",Banjo & Beats,,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Character Breakfast,,,22," Heigh-Ho (""Snow White"")",Pickin' On Series,Heigh Ho Banjo: Bluegrass Salutes Favorite Disney Songs,,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Character Breakfast,,,23, Sour Apples,"Duncan Pittock, Ellie Kidd, Igor Dvorkin",Folk & Nu Folk,,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Character Breakfast,,,24, Country Rag,Jeremy Sherman,"Country, USA 2",,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Character Breakfast,,,25, UNKNOWN B ,,,,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Character Breakfast,,,26, Rough Rider,"Dave James, Keith Beauvais",Stomping Country,,,,,,,
Disney's Grand Californian Hotel & Spa,Napa Rose,00:57:44,Notes: Playlist compiled by C33 and posted 05/2010 on Magic Music of the Mouse discussion board.,1,Perfect Moment,Peter White,Perfect Moment,,,,,,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Napa Rose,,,2,Autumn Day,Peter White,Perfect Moment,,,,,,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Napa Rose,,,3,Another Rainy Day,Peter White,Perfect Moment,,,,,,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Napa Rose,,,4,Turquoise Moon,Craig Chaquico,Four Corners,,,,,,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Napa Rose,,,5,Samba del Rio,Craig Chaquico,Four Corners,,,,,,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Napa Rose,,,6,Siempre Conmigo,Sean Harkness,Aloft,,,,,,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Napa Rose,,,7,We Should Be Together,3rd Force,3rd Force,,,,,,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Napa Rose,,,8,Venice Beach,Peter White,Caravan of Dreams,,,,,,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Napa Rose,,,9,City of Lights,Peter White,Caravan of Dreams,,,,,,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Napa Rose,,,10,Bittersweet,Peter White,Caravan of Dreams,,,,,,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Napa Rose,,,11,Obsession Confession,Slash with Marta Sanchez,Curdled OST,,,,,,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Napa Rose,,,12,Laura,Rick Braun,Intimate Secrets,,,,,,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Lunch/Dinner,00:49:53,Playlist compiled by C33 and posted 09/2010 on Magic Music of the Mouse discussion board.,1,3 Women Walking,Ottmar Liebert,Nouveau Flamenco,,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Lunch/Dinner,,,2,Cielito Lindo,Paco de Lucía & Ramón Algeciras,Hispanoamerica,,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Lunch/Dinner,,,3,Peg Leg,Leo Kottke,Peculiaraso,,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Lunch/Dinner,,,4,Blow the Man Down,Various Artists,The Wind in the Rigging,,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Lunch/Dinner,,,5,The Ride,James Horner,The Mask of Zorro (Soundtrack),,Edited,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Lunch/Dinner,,,6,On the Rooftop / What's a Kiss / Perturbed Pixie,Oliver Wallace,Peter Pan (Soundtrack),,Edited: 00:52 - 00:58,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Lunch/Dinner,,,7,A Cottage in the Woods,George Bruns,Sleeping Beauty (Soundtrack),,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Lunch/Dinner,,,8,Locked In the Tower / Gus and Jaq to the Rescue / Slipper Fittings / Cinderella's Slipper / Finale,Oliver Wallace & Paul J. Smith,Cinderella (Soundtrack),,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Lunch/Dinner,,,9,Blow Ye Winds,Various Artists,The Wind in the Rigging,,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Lunch/Dinner,,,10,Chicuelina,Rafael Riqueni,Juego de Ninos,3:12,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Lunch/Dinner,,,11,"Requiem, Op. 48: In Paradisum",The Choir of Trinity College,Fauré: Requiem,3:37,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Lunch/Dinner,,,12,"Quizas, Quizas, Quizas",Paco de Lucía & Ramón Algeciras,Hispanoamerica,,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Lunch/Dinner,,,13,Unknown,,,7:14,"New age-y, slow, quiet",,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Lunch/Dinner,,,14,Itchy,Leo Kottke,Standing In My Shoes,,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Lunch/Dinner,,,15,Winged Processional,Mesa Music Consort,Spirit Feathers,,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Lunch/Dinner,,,16,End Titles Part II,Patrick Doyle,Shipwrecked (Soundtrack),,,,,,,
Disney's Paradise Pier Hotel,Paradise Pier Hotel (interior),~00:58:04,Playlist based on a live recording by CThaddeus and compiled by C33. Playlist posted 06/2010 on C33's blog at Magic Music of the Mouse discussion board.,1,Sunset at the Wedge,The Vara-Tones,Jetty Subject to High Surf,03:45,,,,,,
Disney's Paradise Pier Hotel,Paradise Pier Hotel (interior),,,2,Banzai Pipeline,The Blue Hawaiians,Sway,,,,,,,
Disney's Paradise Pier Hotel,Paradise Pier Hotel (interior),,,3,Drive,Gary Hoey,Animal Instinct,,,,,,,
Disney's Paradise Pier Hotel,Paradise Pier Hotel (interior),,,4,Theme from the Endless Summer,Gary Hoey,Endless Summer II,,,,,,,
Disney's Paradise Pier Hotel,Paradise Pier Hotel (interior),,,5,Slow Dance with a Fast Girl,The Aqua Velvets,Guitar Noir,,,,,,,
Disney's Paradise Pier Hotel,Paradise Pier Hotel (interior),,,6,Ocean Boulevard,Jack Jezzro,Ocean Boulevard,,,,,,,
Disney's Paradise Pier Hotel,Paradise Pier Hotel (interior),,,7,Under the Boardwalk,Jack Jezzro,Ocean Boulevard,,,,,,,
Disney's Paradise Pier Hotel,Paradise Pier Hotel (interior),,,8,Stay,Jack Jezzro,Ocean Boulevard,,,,,,,
Disney's Paradise Pier Hotel,Paradise Pier Hotel (interior),,,9,Myrtle Beach Days,Jack Jezzro,Ocean Boulevard,,,,,,,
Disney's Paradise Pier Hotel,Paradise Pier Hotel (interior),,,10,Up On the Roof,Jack Jezzro,Ocean Boulevard,,,,,,,
Disney's Paradise Pier Hotel,Paradise Pier Hotel (interior),,,11,Carolina Girls,Jack Jezzro,Ocean Boulevard,,,,,,,
Disney's Paradise Pier Hotel,Paradise Pier Hotel (interior),,,12,Summertime's Calling Me,Jack Jezzro,Ocean Boulevard,,,,,,,
Disney's Paradise Pier Hotel,Paradise Pier Hotel (interior),,,13,I Love Beach Music,Jack Jezzro,Ocean Boulevard,,,,,,,
Disney's Paradise Pier Hotel,Paradise Pier Hotel (interior),,,14,Wouldn't It Be Nice?,The Royal Philharmonic Orchestra,Symphonic Sounds: Music of the Beach,,,,,,,
Disney's Paradise Pier Hotel,Paradise Pier Hotel (interior),,,15,Surfer Girl,Don Grusin,Wouldn't It Be Nice: A Jazz Portrait of Brian Wilson,,,,,,,
Disney's Paradise Pier Hotel,Paradise Pier Hotel (interior),,,16,I Just Wasn't Made for These Times,Larry Carlton,Wouldn't It Be Nice: A Jazz Portrait of Brian Wilson,,,,,,,
Disney's Paradise Pier Hotel,Paradise Pier Hotel Holiday,00:49:39.978,"This loop played in the Paradise Pier Hotel Lobby during the holiday season. The loop is identical to Santa’s Seaside Pavilion in DCA’s Sunshine Plaza. See MouseBits, https://mousebits.com/smf/index.php?topic=4845.msg36221#msg36221 (2009) and https://mousebits.com/smf/index.php?topic=4845.msg37205#msg37205 (2010).",1," Jingle
  Bell Rock ",Jack Jezzro & Sam Levine,Christmas In The Fifties, 3:25.285,,1,1,Green Hill,,Christmas
Disney's Paradise Pier Hotel,Paradise Pier Hotel Holiday,,,2, Winter Wonderland ,Jack Jezzro & Sam Levine,Christmas In The Fifties, 3:50.990,,2,1,Green Hill,,Christmas
Disney's Paradise Pier Hotel,Paradise Pier Hotel Holiday,,,3," Rockin' Around the Christmas
  Tree ",Jack Jezzro & Sam Levine,Christmas In The Fifties, 3:31.959,,3,1,Green Hill,,Christmas
Disney's Paradise Pier Hotel,Paradise Pier Hotel Holiday,,,4," I Saw Mommy Kissing Santa
  Claus ",Jack Jezzro & Sam Levine,Christmas In The Fifties, 4:25.418,,4,1,Green Hill,,Christmas
Disney's Paradise Pier Hotel,Paradise Pier Hotel Holiday,,,5," Santa, Bring My Baby Back (To
  Me) ",Jack Jezzro & Sam Levine,Christmas In The Fifties, 3:31.996,,5,1,Green Hill,,Christmas
Disney's Paradise Pier Hotel,Paradise Pier Hotel Holiday,,,6," Here Comes Santa Claus (Right Down
  Santa Claus Lane) ",Jack Jezzro & Sam Levine,Christmas In The Fifties, 2:49.211,,6,1,Green Hill,,Christmas
Disney's Paradise Pier Hotel,Paradise Pier Hotel Holiday,,,7," The Chipmunk Song (Christmas Don't
  Be Late) ",Jack Jezzro & Sam Levine,Christmas In The Fifties, 2:44.858,,7,1,Green Hill,,Christmas
