Land,Loop,Loop Total Length,Loop Notes,Track No.,Track,Track Artist,Album,Loop Track Length,Track Notes,Album Track Number,Album Disc Number,Album Label,Dates,Holiday/Special Event
Main Street U.S.A.,"Main Street U.S.A. v.2 ""AM""",~00:59:00,"This loop played on Main Street, U.S.A. from 1976-1991. The loop was created by Jack Wagner for both MK and DL, and is often known as the AM loop, although from observation of home videos it was not necessarily constrained to a time of day. See Magic Music, https://community.magicmusic.net/threads/frontierland-loop-question.3677/#post-25773 (2008), Michael’s Sweeney’s Blog, http://dlrmusiccompendium.blogspot.com/2014/03/main-street-usa-area-music-ca-1976-ca.html (2014), http://passport2dreams.blogspot.com/2013/04/main-street-usa-1976-1991-morning.html (2013), and MouseBits https://mousebits.com/smf/index.php?topic=7973.msg71919#msg71919 (2013).",1,Frisco Rag,San Francisco Harry & the Barbary Coast Bandits,30 Barbary Coast Favorites (Fantasy 3270),,,,,Fantasy,"January 1, 1976 → November 1, 1991",
Main Street U.S.A.,"Main Street U.S.A. v.2 ""AM""",,,2,Tammany Picnic,The Gaslight Orchestra,"Gay Nineties Waltzes (Somerset, P-3400)",,,,,Somerset,"January 1, 1976 → November 1, 1991",
Main Street U.S.A.,"Main Street U.S.A. v.2 ""AM""",,,3,Unknown,,,,,,,,"January 1, 1976 → November 1, 1991",
Main Street U.S.A.,"Main Street U.S.A. v.2 ""AM""",,,4,The Old Grey Mare,Albert White & the Gaslight Orchestra,"Your Father's Moustache, Vol. 2 (Barbary Coast, M-33008)",,,,,Barbary Coast,"January 1, 1976 → November 1, 1991",
Main Street U.S.A.,"Main Street U.S.A. v.2 ""AM""",,,5,Golden Arrow,Albert White & the Gaslight Orchestra,"Your Father's Moustache, Vol. 2 (Barbary Coast, M-33008)",,,,,Barbary Coast,"January 1, 1976 → November 1, 1991",
Main Street U.S.A.,"Main Street U.S.A. v.2 ""AM""",,,6,Sidewalks of New York,"Gay Nineties Waltzes (Somerset, P-3400)","Gay Nineties Waltzes (Somerset, P-3400)",,,,,Somerset,"January 1, 1976 → November 1, 1991",
Main Street U.S.A.,"Main Street U.S.A. v.2 ""AM""",,,7,Pretty Baby,Albert White & the Gaslight Orchestra,"Your Father's Moustache, Vol. 2 (Barbary Coast, M-33008)",,,,,Barbary Coast,"January 1, 1976 → November 1, 1991",
Main Street U.S.A.,"Main Street U.S.A. v.2 ""AM""",,,8,Mississippi Cabaret,Albert White & the Gaslight Orchestra,"Your Father's Moustache, Vol. 2 (Barbary Coast, M-33008)",,,,,Barbary Coast,"January 1, 1976 → November 1, 1991",
Main Street U.S.A.,"Main Street U.S.A. v.2 ""AM""",,,9,Strolling Through the Park — Mary,"Gay Nineties Waltzes (Somerset, P-3400)","Gay Nineties Waltzes (Somerset, P-3400)",,,,,Somerset,"January 1, 1976 → November 1, 1991",
Main Street U.S.A.,"Main Street U.S.A. v.2 ""AM""",,,10,'Lasses Trombone,Albert White & the Gaslight Orchestra,"Your Father's Moustache, Vol. 1 (Barbary Coast, M-33002)",,,,,Barbary Coast,"January 1, 1976 → November 1, 1991",
Main Street U.S.A.,"Main Street U.S.A. v.2 ""AM""",,,11,Good Old Timers,Albert White & the Gaslight Orchestra,"Your Father's Moustache, Vol. 1 (Barbary Coast, M-33002)",,,,,Barbary Coast,"January 1, 1976 → November 1, 1991",
Main Street U.S.A.,"Main Street U.S.A. v.2 ""AM""",,,12,School Days,"Gay Nineties Waltzes (Somerset, P-3400)","Gay Nineties Waltzes (Somerset, P-3400)",,,,,Somerset,"January 1, 1976 → November 1, 1991",
Main Street U.S.A.,"Main Street U.S.A. v.2 ""AM""",,,13,Old Timers Waltz Medley,Albert White & the Gaslight Orchestra,"Your Father's Moustache, Vol. 1 (Barbary Coast, M-33002)",,,,,Barbary Coast,"January 1, 1976 → November 1, 1991",
Main Street U.S.A.,"Main Street U.S.A. v.2 ""AM""",,,14,Horse Cars,"Gay Nineties Waltzes (Somerset, P-3400)","Gay Nineties Waltzes (Somerset, P-3400)",,,,,Somerset,"January 1, 1976 → November 1, 1991",
Main Street U.S.A.,"Main Street U.S.A. v.2 ""AM""",,,15,Sweet Rosie O'Grady,"Gay Nineties Waltzes (Somerset, P-3400)","Gay Nineties Waltzes (Somerset, P-3400)",,,,,Somerset,"January 1, 1976 → November 1, 1991",
Main Street U.S.A.,"Main Street U.S.A. v.2 ""AM""",,,16,Silver Heels,Albert White & the Gaslight Orchestra,"Your Father's Moustache, Vol. 1 (Barbary Coast, M-33002)",,Edited,,,Barbary Coast,"January 1, 1976 → November 1, 1991",
Main Street U.S.A.,"Main Street U.S.A. v.2 ""AM""",,,17,Wisha Wurra,The Pete King Orchestra,"The Pete King Orchestra Plays the Music of Donnybrook (Kapp, KL-1243)",,,,,Kapp,"January 1, 1976 → November 1, 1991",
Main Street U.S.A.,"Main Street U.S.A. v.2 ""AM""",,,18,Theme from 'Minnie's Boys’,Merv Griffin,Appearing Nightly at the Piano (Metromedia 1023),,,,,"Metromedia ","January 1, 1976 → November 1, 1991",
Main Street U.S.A.,"Main Street U.S.A. v.2 ""AM""",,,19,Man With a Load of Mischief,Ralph Carmichael and his Orchestra,"Man With A Load of Music (Kapp, KL-1518)",,,,,Kapp,"January 1, 1976 → November 1, 1991",
Main Street U.S.A.,"Main Street U.S.A. v.2 ""AM""",,,20,I Wouldn't Bet One Penny,The Pete King Orchestra,"The Pete King Orchestra Plays the Music of Donnybrook (Kapp, KL-1243)",,,,,Kapp,"January 1, 1976 → November 1, 1991",
Main Street U.S.A.,"Main Street U.S.A. v.2 ""AM""",,,21,Medley: Bird in a Gilded Cage / Two Girls / Good Old Summertime,San Francisco Harry & the Barbary Coast Bandits,30 Barbary Coast Favorites (Fantasy 3270),,,,,Fantasy,"January 1, 1976 → November 1, 1991",
Main Street U.S.A.,"Main Street U.S.A. v.2 ""AM""",,,22,Little Annie Rooney,"Gay Nineties Waltzes (Somerset, P-3400)","Gay Nineties Waltzes (Somerset, P-3400)",,,,,Somerset,"January 1, 1976 → November 1, 1991",
Main Street U.S.A.,"Main Street U.S.A. v.2 ""AM""",,,23,On a Sunday Afternoon,San Francisco Harry & the Barbary Coast Bandits,30 Barbary Coast Favorites (Fantasy 3270),,,,,Fantasy,"January 1, 1976 → November 1, 1991",
Main Street U.S.A.,"Main Street U.S.A. v.2 ""AM""",,,24,Bicycle Built for Two,"Gay Nineties Waltzes (Somerset, P-3400)","Gay Nineties Waltzes (Somerset, P-3400)",,,,,Somerset,"January 1, 1976 → November 1, 1991",
Main Street U.S.A.,"Main Street U.S.A. v.2 ""PM""",~00:59:00,"This loop played on Main Street, U.S.A. from 1976-1991. The loop was created by Jack Wagner for both MK and DL, and is often known as the PM loop, although from observation of home videos it was not necessarily constrained to a time of day. See Magic Music, https://community.magicmusic.net/threads/frontierland-loop-question.3677/#post-25773 (2008), http://passport2dreams.blogspot.com/2013/04/main-street-usa-1976-1991-evening.html (2013), and MouseBits https://mousebits.com/smf/index.php?topic=7973.msg72386#msg72386 (2013).",1,And the Band Played On,the Gaslight Orchestra,"Gay Nineties Waltzes (Somerset, P-3400)",,Edited,,,Somerset,"January 1, 1976 → October 31, 1992",
Main Street U.S.A.,"Main Street U.S.A. v.2 ""PM""",,,2,Saxema,Albert White & the Gaslight Orchestra,"Your Father's Moustache, Vol. 2 (Barbary Coast, M-33008)",,,,,Barbary Coast,"January 1, 1976 → October 31, 1992",
Main Street U.S.A.,"Main Street U.S.A. v.2 ""PM""",,,3,Saddle Back,Albert White & the Gaslight Orchestra,"Your Father's Moustache, Vol. 2 (Barbary Coast, M-33008)",,,,,Barbary Coast,"January 1, 1976 → October 31, 1992",
Main Street U.S.A.,"Main Street U.S.A. v.2 ""PM""",,,4,Poison Ivy Rag,San Francisco Harry & the Barbary Coast Bandits,30 Barbary Coast Favorites (Fantasy 3270),,,,,Fantasy,"January 1, 1976 → October 31, 1992",
Main Street U.S.A.,"Main Street U.S.A. v.2 ""PM""",,,5,"Goodbye Broadway, Hello France",Albert White & the Gaslight Orchestra,"Your Father's Moustache, Vol. 1 (Fantasy, 3273)",,,,,Fantasy,"January 1, 1976 → October 31, 1992",
Main Street U.S.A.,"Main Street U.S.A. v.2 ""PM""",,,6,Rose of No Man's Land,Albert White & the Gaslight Orchestra,"Your Father's Moustache, Vol. 1 (Fantasy, 3273)",,,,,Fantasy,"January 1, 1976 → October 31, 1992",
Main Street U.S.A.,"Main Street U.S.A. v.2 ""PM""",,,7,Everybody's Rag,San Francisco Harry & the Barbary Coast Bandits,30 Barbary Coast Favorites (Fantasy 3270),,,,,Fantasy,"January 1, 1976 → October 31, 1992",
Main Street U.S.A.,"Main Street U.S.A. v.2 ""PM""",,,8,The Old Grey Mare,Albert White & the Gaslight Orchestra,"Your Father's Moustache, Vol. 2 (Barbary Coast, M-33008)",,,,,Barbary Coast,"January 1, 1976 → October 31, 1992",
Main Street U.S.A.,"Main Street U.S.A. v.2 ""PM""",,,9,Down at the Barbecue,Albert White & the Gaslight Orchestra,"Your Father's Moustache, Vol. 2 (Fantasy, 3292)",,,,,Fantasy,"January 1, 1976 → October 31, 1992",
Main Street U.S.A.,"Main Street U.S.A. v.2 ""PM""",,,10,I've Got Rings on My Fingers,San Francisco Harry & the Barbary Coast Bandits,30 Barbary Coast Favorites (Fantasy 3270),,,,,Fantasy,"January 1, 1976 → October 31, 1992",
Main Street U.S.A.,"Main Street U.S.A. v.2 ""PM""",,,11,Bedelia,San Francisco Harry & the Barbary Coast Bandits,30 Barbary Coast Favorites (Fantasy 3270),,,,,Fantasy,"January 1, 1976 → October 31, 1992",
Main Street U.S.A.,"Main Street U.S.A. v.2 ""PM""",,,12,Unknown A,,,,,,,,"January 1, 1976 → October 31, 1992",
Main Street U.S.A.,"Main Street U.S.A. v.2 ""PM""",,,13,Unknown B,,,,,,,,"January 1, 1976 → October 31, 1992",
Main Street U.S.A.,"Main Street U.S.A. v.2 ""PM""",,,14,Medley: Billy Boy / Tavern in the Town / Hot Time in the Old Town Tonight,San Francisco Harry & the Barbary Coast Bandits,30 Barbary Coast Favorites (Fantasy 3270),,,,,Fantasy,"January 1, 1976 → October 31, 1992",
Main Street U.S.A.,"Main Street U.S.A. v.2 ""PM""",,,15,Grizzly Bear Rag,Albert White & the Gaslight Orchestra,"Your Father's Moustache, Vol. 2 (Fantasy, 3292)",,,,,Fantasy,"January 1, 1976 → October 31, 1992",
Main Street U.S.A.,"Main Street U.S.A. v.2 ""PM""",,,16,Honey Rag,San Francisco Harry & the Barbary Coast Bandits,30 Barbary Coast Favorites (Fantasy 3270),,,,,Fantasy,"January 1, 1976 → October 31, 1992",
Main Street U.S.A.,"Main Street U.S.A. v.2 ""PM""",,,17,Geraldine,Albert White & the Gaslight Orchestra,"Your Father's Moustache, Vol. 2 (Fantasy, 3292)",,,,,Fantasy,"January 1, 1976 → October 31, 1992",
Main Street U.S.A.,"Main Street U.S.A. v.2 ""PM""",,,18,Man on the Flying Trapeze,San Francisco Harry & the Barbary Coast Bandits,30 Barbary Coast Favorites (Fantasy 3270),,,,,Fantasy,"January 1, 1976 → October 31, 1992",
Main Street U.S.A.,"Main Street U.S.A. v.2 ""PM""",,,19,At a Georgia Camp Meeting,Albert White & the Gaslight Orchestra,"Your Father's Moustache, Vol. 2 (Fantasy, 3292)",,,,,Fantasy,"January 1, 1976 → October 31, 1992",
Main Street U.S.A.,"Main Street U.S.A. v.2 ""PM""",,,20,Smokey Mokes,Albert White & the Gaslight Orchestra,"Your Father's Moustache, Vol. 2 (Fantasy, 3292)",,,,,Fantasy,"January 1, 1976 → October 31, 1992",
Main Street U.S.A.,"Main Street U.S.A. v.2 ""PM""",,,21,Ida,San Francisco Harry & the Barbary Coast Bandits,30 Barbary Coast Favorites (Fantasy 3270),,,,,Fantasy,"January 1, 1976 → October 31, 1992",
Main Street U.S.A.,"Main Street U.S.A. v.2 ""PM""",,,22,Good Old Timers,Albert White & the Gaslight Orchestra,"Your Father's Moustache, Vol. 1 (Barbary Coast, M-33002)",,,,,Barbary Coast,"January 1, 1976 → October 31, 1992",
Main Street U.S.A.,"Main Street U.S.A. v.2 ""PM""",,,23,Silver Heels,Albert White & the Gaslight Orchestra,"Your Father's Moustache, Vol. 1 (Barbary Coast, M-33002)",,Edited,,,Barbary Coast,"January 1, 1976 → October 31, 1992",
Main Street U.S.A.,"Main Street U.S.A. v.2 ""PM""",,,24,Black and Blue Rag,San Francisco Harry & the Barbary Coast Bandits,30 Barbary Coast Favorites (Fantasy 3270),,,,,Fantasy,"January 1, 1976 → October 31, 1992",
Main Street U.S.A.,"Main Street U.S.A. v.2 ""PM""",,,25,Polka by Request,Albert White & the Gaslight Orchestra,"Your Father's Moustache, Vol. 2 (Fantasy, 3292)",,,,,Fantasy,"January 1, 1976 → October 31, 1992",
Main Street U.S.A.,Main Street U.S.A. v.3,01:00:14,"Based on a list provided by Guest Relations ca. 2001 or 2002 and posted to Magic Music, https://community.magicmusic.net/threads/guest-relations-listings.4511/#post-32743https://community.magicmusic.net/threads/guest-relations-listings.4511/#post-32743. According to The Disneyland Forever Project document assembled by sds910 and TheBeets, the Disneyland Forever and the non-commercially available tracks were recorded in 1991 for Disneyland Paris. Playlist compiled by wedroy1923 based on an induction recording by pixelated (MouseBits). See Re: https://mousebits.com/smf/index.php?topic=6970.msg58610#msg58610 and Magic Music: https://community.magicmusic.net/threads/disneyland-music-loops.17/.",1,Goodbye My Coney Island Baby,,Disneyland Forever,1:59,,,,,"January 1, 1992 → January 8, 2012",
Main Street U.S.A.,Main Street U.S.A. v.3,,,2,Smiles,The Paragon Ragtime Orchestra,The Whistler and His Dog,2:55,Edited 00:00 - 02:55 of 02:58,,,Newport Classic,"January 1, 1992 → January 8, 2012",
Main Street U.S.A.,Main Street U.S.A. v.3,,,3,Old Timer’s Waltz Medley,The Paragon Ragtime Orchestra,On the Boardwalk,4:23,"Edited 00:00 - 04.:3 of 04:27. Consists of the following songs: The Bowery; The Sidewalks of New York; Sweet Rosie O'Grady; A Bicycle Built for Two (Daisy); New Year's Song (Comrades, Comrades); Little Annie Rooney; She May Have Seen Better Days; The Band Played On; After the Ball",,,Newport Classic,"January 1, 1992 → January 8, 2012",
Main Street U.S.A.,Main Street U.S.A. v.3,,,4,Dearie,,Unreleased,1:36,,,,,"January 1, 1992 → January 8, 2012",
Main Street U.S.A.,Main Street U.S.A. v.3,,,5,In My Merry Oldsmobile,,Disneyland Forever,1:59,,,,,"January 1, 1992 → January 8, 2012",
Main Street U.S.A.,Main Street U.S.A. v.3,,,6,Triplets,The Paragon Ragtime Orchestra,The Whistler and His Dog,2:05,Edited 00:00 - 02:05 of 02:08,,,Newport Classic,"January 1, 1992 → January 8, 2012",
Main Street U.S.A.,Main Street U.S.A. v.3,,,7,Elegance,,Unreleased,1:32,"From Hello, Dolly!",,,,"January 1, 1992 → January 8, 2012",
Main Street U.S.A.,Main Street U.S.A. v.3,,,8,Aviation Rag,The Paragon Ragtime Orchestra,The Whistler and His Dog,2:08,"Edited 00:00 - 02:08 of 02:11. ""Aviation Rag"" begins at approximately 1:32 of the ""Elegance"" track.",,,Newport Classic,"January 1, 1992 → January 8, 2012",
Main Street U.S.A.,Main Street U.S.A. v.3,,,9,Put On Your Sunday Clothes,,Unreleased,2:32,"""Put On Your Sunday Clothes"" begins at approximately 2:08 of the ""Aviation Rag"" track. From Hello, Dolly!",,,,"January 1, 1992 → January 8, 2012",
Main Street U.S.A.,Main Street U.S.A. v.3,,,10,A Symphonic Nightmare: Desecration Rag #1,The Paragon Ragtime Orchestra,The Whistler and His Dog,1:52,"Edited: 00:00 - 01:30, 04:05 - 04:27 of 04:32",,,Newport Classic,"January 1, 1992 → January 8, 2012",
Main Street U.S.A.,Main Street U.S.A. v.3,,,11,Fortuosity,,Disneyland Forever,1:42,"""Fortuosity"" begins at approximately 4:27 of the ""A Symphonic Nightmare: Desecration Rag #1"" track. From Disney’s The Happiest Millionaire",,,,"January 1, 1992 → January 8, 2012",
Main Street U.S.A.,Main Street U.S.A. v.3,,,12,Let's Have a Drink On It,,Disneyland Forever,1:28,From Disney’s The Happiest Millionaire,,,,"January 1, 1992 → January 8, 2012",
Main Street U.S.A.,Main Street U.S.A. v.3,,,13,Oklahoma! Medley: Surrey with the Fringe on Top / Many a New Day / Kansas City,,Unreleased,5:59,,,,,"January 1, 1992 → January 8, 2012",
Main Street U.S.A.,Main Street U.S.A. v.3,,,14,Sidewalks of New York,,Unreleased,2:03,,,,,"January 1, 1992 → January 8, 2012",
Main Street U.S.A.,Main Street U.S.A. v.3,,,15,Mary's a Grand Old Name,,Disneyland Forever,1:36,Edited 00:00 - 01:34 of 1:37,,,,"January 1, 1992 → January 8, 2012",
Main Street U.S.A.,Main Street U.S.A. v.3,,,16,Flitterin',,Disneyland Forever,1:43,From Disney's Summer Magic,,,,"January 1, 1992 → January 8, 2012",
Main Street U.S.A.,Main Street U.S.A. v.3,,,17,Summer Magic,,Disneyland Forever,2:00,"""Summer Magic"" begins at approximately 1:43 of the ""Flitterin'"" track, which then fades. From Disney's Summer Magic",,,,"January 1, 1992 → January 8, 2012",
Main Street U.S.A.,Main Street U.S.A. v.3,,,18,Beautiful Beulah,,Disneyland Forever,1:33,Edited 00:00 - 01:33 of 1:34. From Disney's Summer Magic,,,,"January 1, 1992 → January 8, 2012",
Main Street U.S.A.,Main Street U.S.A. v.3,,,19,I Could Love a Million Girls,,Disneyland Forever,2:10,From Ragtime,,,,"January 1, 1992 → January 8, 2012",
Main Street U.S.A.,Main Street U.S.A. v.3,,,20,Yankee Doodle Boy,,Disneyland Forever,2:38,,,,,"January 1, 1992 → January 8, 2012",
Main Street U.S.A.,Main Street U.S.A. v.3,,,21,Winter Garden Rag,The Paragon Ragtime Orchestra,The Whistler and His Dog,1:57,Edited 00:00 - 01:57 of 2:00,,,Newport Classic,"January 1, 1992 → January 8, 2012",
Main Street U.S.A.,Main Street U.S.A. v.3,,,22,The Music Man Medley: Wells Fargo Wagon / Wells Fargo Wagon / Lyda Rose / Iowa Stubborn,,Unreleased,6:06,"The ""Music Man Medley"" begins at approximately 1:57 of the ""Winter Garden Rag"" track.",,,,"January 1, 1992 → January 8, 2012",
Main Street U.S.A.,Main Street U.S.A. v.3,,,23,Oh You Drummer!,The Paragon Ragtime Orchestra,The Whistler and His Dog,1:35,"Edited 00:00 - 01:01; 01:02 - 01:33; 01:34 - 01:37 of 01:41 to remove the brief line ""Oh you drummer!”",,,Newport Classic,"January 1, 1992 → January 8, 2012",
Main Street U.S.A.,Main Street U.S.A. v.3,,,24,The Junk Man Rag,The Paragon Ragtime Orchestra,The Whistler and His Dog,2:03,Edited 00:00 - 02:03 of 02:07,,,Newport Classic,"January 1, 1992 → January 8, 2012",
Main Street U.S.A.,Main Street U.S.A. v.3,,,25,In the Hills of Old Kentucky Medley,The Paragon Ragtime Orchestra,On the Boardwalk,2:36,Edited 00:00 - 02:36 of 02:39,,,Newport Classic,"January 1, 1992 → January 8, 2012",
Main Street U.S.A.,Main Street U.S.A. v.4,00:55:53,"This is the third version of the Main Street, U.S.A. loop that was introduced in 2012.  The tracks were custom compositions by Dean Mora performed by the Dean Mora Orchestra. See MouseBits, https://mousebits.com/smf/index.php?topic=6968.msg58915#msg58915 (2012). All composition dates (fictional or real) are listed with the track titles for context. ",1,"Wells
  Fargo Wagon (written 1957, fictional date 1912)",Dean Mora Orchestra,Unreleased,,,,,,"January 9, 2012",
Main Street U.S.A.,Main Street U.S.A. v.4,,,2,"Put
  On Your Sunday Clothes (written 1964, fictional date 1900)",Dean Mora Orchestra,Unreleased,,,,,,"January 9, 2012",
Main Street U.S.A.,Main Street U.S.A. v.4,,,3,"Maple
  Leaf Rag (1899)",Dean Mora Orchestra,Unreleased,,,,,,"January 9, 2012",
Main Street U.S.A.,Main Street U.S.A. v.4,,,4,"Married
  Life (written 2009, fictional date early 1900's)",Dean Mora Orchestra,Disneyland Resort Official Album (2013),,Also available on The Legacy Collection: Disneyland,,,,"January 9, 2012",
Main Street U.S.A.,Main Street U.S.A. v.4,,,5,"Let
  Me Call You Sweetheart (1910)",Dean Mora Orchestra,Unreleased,,,,,,"January 9, 2012",
Main Street U.S.A.,Main Street U.S.A. v.4,,,6,"Surrey
  With the Fringe On Top (written 1943, fictional date 1906)",Dean Mora Orchestra,Unreleased,,,,,,"January 9, 2012",
Main Street U.S.A.,Main Street U.S.A. v.4,,,7,"Oh,
  You Beautiful Doll (1911)",Dean Mora Orchestra,Unreleased,,,,,,"January 9, 2012",
Main Street U.S.A.,Main Street U.S.A. v.4,,,8,"Old
  Timers Waltz Medley (1917)",Dean Mora Orchestra,Unreleased,,,,,,"January 9, 2012",
Main Street U.S.A.,Main Street U.S.A. v.4,,,9,"Put
  on Your Old Grey Bonnet (1909)",Dean Mora Orchestra,Unreleased,,,,,,"January 9, 2012",
Main Street U.S.A.,Main Street U.S.A. v.4,,,10,"The
  Band Played On (1895)",Dean Mora Orchestra,Unreleased,,,,,,"January 9, 2012",
Main Street U.S.A.,Main Street U.S.A. v.4,,,11,"Alexander's
  Ragtime Band (1911)",Dean Mora Orchestra,Unreleased,,,,,,"January 9, 2012",
Main Street U.S.A.,Main Street U.S.A. v.4,,,12,"Before
  the Parade Passes By (written 1964, fictional date early 1900's)",Dean Mora Orchestra,Unreleased,,,,,,"January 9, 2012",
Main Street U.S.A.,Main Street U.S.A. v.4,,,13,"Goodbye,
  My Coney Island Baby (1924)",Dean Mora Orchestra,Unreleased,,,,,,"January 9, 2012",
Main Street U.S.A.,Main Street U.S.A. v.4,,,14,"Dearie
  (1950)",Dean Mora Orchestra,Unreleased,,,,,,"January 9, 2012",
Main Street U.S.A.,Main Street U.S.A. v.4,,,15,"Delerium
  Tremens Rag (1913)",Dean Mora Orchestra,Unreleased,,,,,,"January 9, 2012",
Main Street U.S.A.,Main Street U.S.A. v.4,,,16,"Hello,
  Ma Baby (1899)",Dean Mora Orchestra,Unreleased,,,,,,"January 9, 2012",
Main Street U.S.A.,Main Street U.S.A. v.4,,,17,"By
  the Light of the Silvery Moon (1909)",Dean Mora Orchestra,Unreleased,,,,,,"January 9, 2012",
Main Street U.S.A.,Main Street U.S.A. v.4,,,18,"It's
  a Long Way To Tipperary (1912)",Dean Mora Orchestra,Unreleased,,,,,,"January 9, 2012",
Main Street U.S.A.,Main Street U.S.A. v.4,,,19,"In
  the Good Old Summertime (1902)",Dean Mora Orchestra,Unreleased,,,,,,"January 9, 2012",
Main Street U.S.A.,Main Street U.S.A. v.4,,,20,"Fortuosity
  (written 1965, fictional date 1916)",Dean Mora Orchestra,Unreleased,,,,,,"January 9, 2012",
Main Street U.S.A.,Main Street U.S.A. v.4,,,21,"Oh!
  You Drummer (1910)",Dean Mora Orchestra,Unreleased,,,,,,"January 9, 2012",
Main Street U.S.A.,Main Street U.S.A. v.4,,,22,"Sidewalks
  of New York (1894)",Dean Mora Orchestra,Unreleased,,,,,,"January 9, 2012",
Main Street U.S.A.,Main Street U.S.A. v.4,,,23,"There'll
  Be a Hot Time In the Old Town Tonight (1896)",Dean Mora Orchestra,Unreleased,,,,,,"January 9, 2012",
Main Street U.S.A.,Main Street U.S.A. v.4,,,24,"Wait
  'Till the Sun Shine Nellie (1905)",Dean Mora Orchestra,Unreleased,,,,,,"January 9, 2012",
Main Street U.S.A.,Main Street U.S.A. v.4,,,25,"Meet
  Me in St. Louis (1904)",Dean Mora Orchestra,Unreleased,,,,,,"January 9, 2012",
Main Street U.S.A.,Main Street U.S.A. v.4,,,26,"Elegance
  (written 1964, fictional date early 1900's)",Dean Mora Orchestra,Unreleased,,,,,,"January 9, 2012",
Main Street U.S.A.,Main Street U.S.A. v.4,,,27,"Kansas
  City (written 1943, fictional date 1906)",Dean Mora Orchestra,Unreleased,,,,,,"January 9, 2012",
Main Street U.S.A.,Main Street U.S.A. v.4,,,28,"Yankee
  Doodle Boy (1904)",Dean Mora Orchestra,Unreleased,,,,,,"January 9, 2012",
